,game_name,release_date,original_price($),discount_price($),steam_rating
310,Pacify,"22 Feb, 2019",5.69,,86.55%
311,Dark Bestiary,"12 Jul, 2020",13.49,,82.90%
312,Company of Heroes 2,"25 Jun, 2013",21.99,,76.38%
313,RAGE,"4 Oct, 2011",12.99,,74.89%
314,DOOM,"13 May, 2016",24.99,,93.44%
315,Left 4 Dead,"17 Nov, 2008",11.49,,93.60%
316,Ancestors Legacy,"22 May, 2018",39.99,11.99,76.63%
317,Fallout 4,"10 Nov, 2015",39.99,,76.04%
318,Slime Rancher,"1 Aug, 2017",21.99,,95.38%
319,"Papers, Please","8 Aug, 2013",10.99,5.49,94.53%
320,X-Plane 11,"30 Mar, 2017",72.99,,87.96%
321,LEGO® STAR WARS™: The Force Awakens,"28 Jun, 2016",29.99,7.49,80.50%
322,Democracy 3 Africa,"12 Apr, 2016",16.99,,68.32%
323,Merchant of the Skies,"17 Apr, 2020",17.49,13.11,82.01%
324,Town of Salem,"15 Dec, 2014",5.49,,86.89%
325,Risk of Rain,"8 Nov, 2013",10.99,,91.69%
326,Battlefield: Bad Company™ 2,"2 Mar, 2010",26.99,6.74,84.61%
327,Approaching Infinity,"5 Aug, 2020",12.49,,77.90%
328,Little Witch Nobeta,"24 Jun, 2020",11.49,,93.97%
329,Space Engineers,"28 Feb, 2019",22.79,,86.73%
330,60 Seconds! Reatomized,"25 Jul, 2019",10.99,,90.65%
331,The Isle,"1 Dec, 2015",21.99,,79.28%
332,The Long Dark,"1 Aug, 2017",33.99,,89.53%
333,The Long Dark,"1 Aug, 2017",33.99,,89.53%
334,Witch Hunt,"3 Sep, 2018",11.49,,83.77%
335,Sid Meier's Pirates!,"25 Oct, 2006",10.99,,90.22%
336,SWORD ART ONLINE Alicization Lycoris,"9 Jul, 2020",79.99,,55.01%
337,Unrailed!,"9 Sep, 2019",22.99,13.33,88.82%
338,Dragon Age: Origins - Ultimate Edition,"26 Oct, 2010",39.99,,89.36%
339,Trap Legend,"17 Jul, 2020",11.49,,89.47%
340,Conan Exiles,"8 May, 2018",49.99,,76.12%
341,LEGO® Jurassic World,"12 Jun, 2015",29.99,7.49,84.82%
342,VTOL VR,"3 Aug, 2020",32.99,,91.83%
343,The Jackbox Party Pack 2,"13 Oct, 2015",27.99,,90.03%
344,Core Awaken ~The Yuka~,"10 Jul, 2018",11.49,,75.77%
345,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,"23 Jun, 2020",29.99,,92.62%
346,ATLAS,"22 Dec, 2018",33.99,,45.90%
347,Beyond: Two Souls,"18 Jun, 2020",21.99,,86.18%
348,Metro Exodus,"15 Feb, 2020",49.99,,83.92%
349,Magicka,"25 Jan, 2011",10.99,,87.94%
350,Psychonauts,"11 Oct, 2006",10.99,,92.23%
351,The Infected,"6 Aug, 2020",15.49,,68.78%
352,The Gardens Between,"20 Sep, 2018",22.79,11.39,89.11%
353,Princess Project,"30 Aug, 2019",17.49,11.36,79.12%
354,Danganronpa: Trigger Happy Havoc,"18 Feb, 2016",21.99,,94.24%
355,LEGO® Batman™: The Videogame,"10 Oct, 2008",19.99,4.99,80.40%
356,Lab 7: Cold Nights,"6 May, 2020",12.49,,75.64%
357,Max Payne,"4 Jan, 2008",10.99,,87.09%
358,Atari Vault,"24 Mar, 2016",10.99,,77.34%
359,Domina,"3 Apr, 2017",10.99,,85.60%
360,Keep Talking and Nobody Explodes,"8 Oct, 2015",16.99,,94.89%
361,Desperados III,"16 Jun, 2020",49.99,,92.97%
362,Black Mesa,"6 Mar, 2020",21.99,,93.69%
363,UnReal World,"26 Feb, 2016",11.99,,90.44%
364,Imperator: Rome,"25 Apr, 2019",45.49,,52.18%
